start_time,Airln_cd_8L,Airln_cd_A6,Airln_cd_DR,Airln_cd_KY,Flt_nbr_6521,Flt_nbr_6523,Flt_nbr_7101,Flt_nbr_8239,Flt_nbr_8291,Flt_nbr_8321,Flt_nbr_961,Flt_nbr_9895,Flt_nbr_9945,Flt_nbr_9947,AirCrft_Typ_319,AirCrft_Typ_320,AirCrft_Typ_321,AirCrft_Typ_330,AirCrft_Typ_737,Cls_Cd_Y,Pax_Qty_y,ds,y
2019-01-06 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.814977973568282,2019-01-06 09:30:00,-0.9549819630893288
2019-01-06 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.26872246696035246,2019-01-06 23:20:00,-0.8174295182347525
2019-01-07 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.34801762114537443,2019-01-07 07:05:00,-0.9617931348756062
2019-01-07 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.40088105726872253,2019-01-07 07:05:00,-1.1544994585849162
2019-01-07 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.9339207048458151,2019-01-07 09:30:00,-1.0670063575904594
2019-01-07 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.3436123348017622,2019-01-07 23:20:00,-1.1216618580218067
2019-01-08 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.33480176211453744,2019-01-08 07:05:00,-0.9493890496713288
2019-01-08 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.4537444933920705,2019-01-08 07:05:00,-1.3931119726261278
2019-01-08 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.9339207048458151,2019-01-08 09:30:00,-1.3377919676302659
2019-01-08 18:20:00,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.34801762114537443,2019-01-08 18:20:00,0.136909787169342
2019-01-08 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.4669603524229075,2019-01-08 23:20:00,-1.2040604240216497
2019-01-09 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.3171806167400881,2019-01-09 07:05:00,-0.6016316609085509
2019-01-09 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.4581497797356829,2019-01-09 07:05:00,-1.3077785114663445
2019-01-09 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.9603524229074891,2019-01-09 09:30:00,-1.2440968240336703
2019-01-09 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.3392070484581498,2019-01-09 23:20:00,-1.1303004173605
2019-01-10 07:05:00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.4801762114537445,2019-01-10 07:05:00,-0.7368583397873254
2019-01-10 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.3656387665198238,2019-01-10 07:05:00,0.362896714484771
2019-01-10 09:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.9647577092511015,2019-01-10 09:30:00,-1.153004323314758
2019-01-10 18:20:00,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.46255506607929514,2019-01-10 18:20:00,1.0038667423397316
2019-01-10 23:20:00,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.7048458149779737,2019-01-10 23:20:00,-0.8718081417642186
2019-01-11 07:05:00,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.29515418502202645,2019-01-11 07:05:00,0.1145935088777174
