,0
81,"n_periods:82,MSE:0.40427, RMSE:0.63582, MAE:0.52489"
82,"n_periods:83,MSE:0.41175, RMSE:0.64168, MAE:0.53077"
83,"n_periods:84,MSE:0.41032, RMSE:0.64056, MAE:0.53088"
84,"n_periods:85,MSE:0.40564, RMSE:0.63690, MAE:0.52598"
85,"n_periods:86,MSE:0.40143, RMSE:0.63358, MAE:0.52227"
86,"n_periods:87,MSE:0.40009, RMSE:0.63253, MAE:0.52241"
87,"n_periods:88,MSE:0.41518, RMSE:0.64434, MAE:0.53141"
88,"n_periods:89,MSE:0.41117, RMSE:0.64122, MAE:0.52815"
89,"n_periods:90,MSE:0.41261, RMSE:0.64235, MAE:0.53046"
90,"n_periods:91,MSE:0.40855, RMSE:0.63918, MAE:0.52691"
91,"n_periods:92,MSE:0.41017, RMSE:0.64045, MAE:0.52929"
92,"n_periods:93,MSE:0.40605, RMSE:0.63722, MAE:0.52536"
93,"n_periods:94,MSE:0.44620, RMSE:0.66798, MAE:0.54152"
94,"n_periods:95,MSE:0.44286, RMSE:0.66548, MAE:0.53960"
95,"n_periods:96,MSE:0.45199, RMSE:0.67230, MAE:0.54595"
96,"n_periods:97,MSE:0.44798, RMSE:0.66931, MAE:0.54290"
97,"n_periods:98,MSE:0.44353, RMSE:0.66598, MAE:0.53849"
98,"n_periods:99,MSE:0.44807, RMSE:0.66938, MAE:0.54259"
99,"n_periods:100,MSE:0.44428, RMSE:0.66654, MAE:0.53979"
100,"n_periods:101,MSE:0.44337, RMSE:0.66586, MAE:0.54033"
101,"n_periods:102,MSE:0.44124, RMSE:0.66426, MAE:0.53969"
102,"n_periods:103,MSE:0.44084, RMSE:0.66396, MAE:0.54059"
103,"n_periods:104,MSE:0.43769, RMSE:0.66158, MAE:0.53863"
104,"n_periods:105,MSE:0.44742, RMSE:0.66889, MAE:0.54500"
105,"n_periods:106,MSE:0.44597, RMSE:0.66781, MAE:0.54498"
106,"n_periods:107,MSE:0.44377, RMSE:0.66616, MAE:0.54418"
107,"n_periods:108,MSE:0.94716, RMSE:0.97322, MAE:0.60769"
108,"n_periods:109,MSE:0.94018, RMSE:0.96963, MAE:0.60607"
109,"n_periods:110,MSE:0.94019, RMSE:0.96964, MAE:0.60939"
110,"n_periods:111,MSE:0.93502, RMSE:0.96696, MAE:0.60934"
111,"n_periods:112,MSE:0.92669, RMSE:0.96265, MAE:0.60437"
112,"n_periods:113,MSE:0.91856, RMSE:0.95842, MAE:0.59980"
113,"n_periods:114,MSE:0.91202, RMSE:0.95500, MAE:0.59819"
114,"n_periods:115,MSE:0.90909, RMSE:0.95346, MAE:0.59958"
115,"n_periods:116,MSE:0.90440, RMSE:0.95100, MAE:0.59962"
116,"n_periods:117,MSE:0.89767, RMSE:0.94746, MAE:0.59742"
117,"n_periods:118,MSE:0.89017, RMSE:0.94349, MAE:0.59330"
118,"n_periods:119,MSE:0.88807, RMSE:0.94238, MAE:0.59504"
119,"n_periods:120,MSE:0.88395, RMSE:0.94018, MAE:0.59531"
120,"n_periods:121,MSE:0.87957, RMSE:0.93785, MAE:0.59530"
121,"n_periods:122,MSE:0.88722, RMSE:0.94192, MAE:0.60146"
122,"n_periods:123,MSE:0.88372, RMSE:0.94006, MAE:0.60206"
123,"n_periods:124,MSE:0.87671, RMSE:0.93633, MAE:0.59819"
124,"n_periods:125,MSE:0.89962, RMSE:0.94848, MAE:0.60888"
125,"n_periods:126,MSE:0.89296, RMSE:0.94496, MAE:0.60599"
126,"n_periods:127,MSE:0.90929, RMSE:0.95357, MAE:0.61478"
127,"n_periods:128,MSE:0.90219, RMSE:0.94984, MAE:0.61017"
128,"n_periods:129,MSE:0.90789, RMSE:0.95283, MAE:0.61536"
129,"n_periods:130,MSE:0.90628, RMSE:0.95199, MAE:0.61705"
130,"n_periods:131,MSE:0.98553, RMSE:0.99274, MAE:0.63799"
131,"n_periods:132,MSE:0.98838, RMSE:0.99417, MAE:0.64200"
132,"n_periods:133,MSE:0.98101, RMSE:0.99046, MAE:0.63789"
133,"n_periods:134,MSE:1.02806, RMSE:1.01393, MAE:0.65327"
134,"n_periods:135,MSE:1.02240, RMSE:1.01114, MAE:0.65224"
135,"n_periods:136,MSE:1.02617, RMSE:1.01300, MAE:0.65655"
136,"n_periods:137,MSE:1.02055, RMSE:1.01022, MAE:0.65545"
137,"n_periods:138,MSE:1.01328, RMSE:1.00662, MAE:0.65168"
138,"n_periods:139,MSE:1.02283, RMSE:1.01135, MAE:0.65800"
139,"n_periods:140,MSE:1.01636, RMSE:1.00815, MAE:0.65574"
140,"n_periods:141,MSE:1.01420, RMSE:1.00707, MAE:0.65708"
141,"n_periods:142,MSE:1.00923, RMSE:1.00460, MAE:0.65636"
142,"n_periods:143,MSE:1.00222, RMSE:1.00111, MAE:0.65235"
143,"n_periods:144,MSE:0.99557, RMSE:0.99778, MAE:0.64930"
144,"n_periods:145,MSE:0.98895, RMSE:0.99446, MAE:0.64613"
145,"n_periods:146,MSE:0.99550, RMSE:0.99775, MAE:0.65125"
146,"n_periods:147,MSE:0.98874, RMSE:0.99435, MAE:0.64706"
147,"n_periods:148,MSE:0.98405, RMSE:0.99199, MAE:0.64636"
148,"n_periods:149,MSE:0.97745, RMSE:0.98866, MAE:0.64204"
149,"n_periods:150,MSE:0.97200, RMSE:0.98590, MAE:0.64043"
150,"n_periods:151,MSE:0.96638, RMSE:0.98305, MAE:0.63851"
151,"n_periods:152,MSE:0.97229, RMSE:0.98605, MAE:0.64330"
152,"n_periods:153,MSE:0.96890, RMSE:0.98433, MAE:0.64349"
153,"n_periods:154,MSE:0.96896, RMSE:0.98436, MAE:0.64573"
154,"n_periods:155,MSE:0.96335, RMSE:0.98150, MAE:0.64360"
155,"n_periods:156,MSE:0.95820, RMSE:0.97888, MAE:0.64204"
156,"n_periods:157,MSE:0.95288, RMSE:0.97616, MAE:0.64020"
157,"n_periods:158,MSE:0.95778, RMSE:0.97866, MAE:0.64446"
158,"n_periods:159,MSE:0.95176, RMSE:0.97558, MAE:0.64052"
159,"n_periods:160,MSE:0.95653, RMSE:0.97803, MAE:0.64471"
160,"n_periods:161,MSE:0.95128, RMSE:0.97534, MAE:0.64277"
161,"n_periods:162,MSE:0.94646, RMSE:0.97286, MAE:0.64135"
162,"n_periods:163,MSE:0.94126, RMSE:0.97018, MAE:0.63934"
163,"n_periods:164,MSE:0.93597, RMSE:0.96745, MAE:0.63710"
164,"n_periods:165,MSE:0.93978, RMSE:0.96942, MAE:0.64082"
165,"n_periods:166,MSE:0.93412, RMSE:0.96650, MAE:0.63706"
166,"n_periods:167,MSE:0.92973, RMSE:0.96423, MAE:0.63593"
167,"n_periods:168,MSE:0.92422, RMSE:0.96136, MAE:0.63251"
168,"n_periods:169,MSE:0.91876, RMSE:0.95852, MAE:0.62903"
169,"n_periods:170,MSE:0.91493, RMSE:0.95652, MAE:0.62836"
170,"n_periods:171,MSE:0.90960, RMSE:0.95373, MAE:0.62504"
171,"n_periods:172,MSE:0.91447, RMSE:0.95628, MAE:0.62909"
172,"n_periods:173,MSE:0.91424, RMSE:0.95616, MAE:0.63086"
173,"n_periods:174,MSE:0.90923, RMSE:0.95354, MAE:0.62843"
174,"n_periods:175,MSE:0.90403, RMSE:0.95081, MAE:0.62484"
175,"n_periods:176,MSE:0.89917, RMSE:0.94825, MAE:0.62255"
176,"n_periods:177,MSE:0.93940, RMSE:0.96923, MAE:0.63503"
177,"n_periods:178,MSE:0.95261, RMSE:0.97602, MAE:0.64165"
178,"n_periods:179,MSE:0.95820, RMSE:0.97887, MAE:0.64587"
179,"n_periods:180,MSE:0.95294, RMSE:0.97619, MAE:0.64289"
180,"n_periods:181,MSE:0.94824, RMSE:0.97378, MAE:0.64111"
181,"n_periods:182,MSE:0.95284, RMSE:0.97613, MAE:0.64493"
182,"n_periods:183,MSE:0.94815, RMSE:0.97373, MAE:0.64309"
183,"n_periods:184,MSE:0.95189, RMSE:0.97565, MAE:0.64655"
184,"n_periods:185,MSE:0.95037, RMSE:0.97487, MAE:0.64748"
185,"n_periods:186,MSE:0.94576, RMSE:0.97250, MAE:0.64563"
186,"n_periods:187,MSE:0.94091, RMSE:0.97000, MAE:0.64323"
187,"n_periods:188,MSE:0.93625, RMSE:0.96760, MAE:0.64117"
188,"n_periods:189,MSE:0.96427, RMSE:0.98197, MAE:0.65099"
189,"n_periods:190,MSE:0.95983, RMSE:0.97971, MAE:0.64939"
190,"n_periods:191,MSE:0.96478, RMSE:0.98223, MAE:0.65322"
191,"n_periods:192,MSE:0.97771, RMSE:0.98879, MAE:0.65949"
192,"n_periods:193,MSE:0.97267, RMSE:0.98624, MAE:0.65643"
193,"n_periods:194,MSE:0.96785, RMSE:0.98379, MAE:0.65404"
194,"n_periods:195,MSE:0.97307, RMSE:0.98644, MAE:0.65791"
195,"n_periods:196,MSE:1.01048, RMSE:1.00522, MAE:0.66925"
196,"n_periods:197,MSE:1.01112, RMSE:1.00555, MAE:0.67127"
197,"n_periods:198,MSE:1.00726, RMSE:1.00362, MAE:0.67039"
