==> Use accelerator:  cpu
==>当前使用的模型为：LSTM
==>加载数据中...
==>开始训练...
Epochs:1350, Train Loss:0.09118,Test Loss:1.20832, Train_MSE:0.09118, Train_RMSE:0.30196, Train_MAE:0.14144,Test_MSE:1.20832, Test_RMSE:1.09924, Test_MAE:0.84281, Time:0:01:24
Epochs:1400, Train Loss:0.03679,Test Loss:1.26008, Train_MSE:0.03679, Train_RMSE:0.19182, Train_MAE:0.11939,Test_MSE:1.26008, Test_RMSE:1.12253, Test_MAE:0.83567, Time:0:01:27
Epochs:1450, Train Loss:0.14391,Test Loss:1.28098, Train_MSE:0.14391, Train_RMSE:0.37935, Train_MAE:0.23180,Test_MSE:1.28098, Test_RMSE:1.13180, Test_MAE:0.90885, Time:0:01:30
Epochs:1500, Train Loss:0.01424,Test Loss:1.32819, Train_MSE:0.01424, Train_RMSE:0.11931, Train_MAE:0.06489,Test_MSE:1.32819, Test_RMSE:1.15247, Test_MAE:0.89999, Time:0:01:33
Epochs:1550, Train Loss:0.05241,Test Loss:1.28092, Train_MSE:0.05241, Train_RMSE:0.22894, Train_MAE:0.17171,Test_MSE:1.28092, Test_RMSE:1.13178, Test_MAE:0.85883, Time:0:01:36
Epochs:1600, Train Loss:0.65976,Test Loss:1.13278, Train_MSE:0.65976, Train_RMSE:0.81225, Train_MAE:0.38664,Test_MSE:1.13278, Test_RMSE:1.06432, Test_MAE:0.82258, Time:0:01:39
Epochs:1650, Train Loss:0.00184,Test Loss:1.31923, Train_MSE:0.00184, Train_RMSE:0.04284, Train_MAE:0.03693,Test_MSE:1.31923, Test_RMSE:1.14858, Test_MAE:0.87937, Time:0:01:42 *
Epochs:1700, Train Loss:0.06060,Test Loss:1.25930, Train_MSE:0.06060, Train_RMSE:0.24617, Train_MAE:0.18125,Test_MSE:1.25930, Test_RMSE:1.12218, Test_MAE:0.85648, Time:0:01:45
Epochs:1750, Train Loss:0.06360,Test Loss:1.35928, Train_MSE:0.06360, Train_RMSE:0.25218, Train_MAE:0.14517,Test_MSE:1.35928, Test_RMSE:1.16588, Test_MAE:0.87905, Time:0:01:48
Epochs:1800, Train Loss:0.00212,Test Loss:1.15102, Train_MSE:0.00212, Train_RMSE:0.04604, Train_MAE:0.04139,Test_MSE:1.15102, Test_RMSE:1.07286, Test_MAE:0.84235, Time:0:01:51
Epochs:1850, Train Loss:0.08993,Test Loss:1.22332, Train_MSE:0.08993, Train_RMSE:0.29989, Train_MAE:0.13118,Test_MSE:1.22332, Test_RMSE:1.10604, Test_MAE:0.84209, Time:0:01:54
Epochs:1900, Train Loss:0.02508,Test Loss:1.19148, Train_MSE:0.02508, Train_RMSE:0.15838, Train_MAE:0.08205,Test_MSE:1.19148, Test_RMSE:1.09155, Test_MAE:0.81784, Time:0:01:57
Epochs:1950, Train Loss:0.02097,Test Loss:1.30813, Train_MSE:0.02097, Train_RMSE:0.14481, Train_MAE:0.09778,Test_MSE:1.30813, Test_RMSE:1.14374, Test_MAE:0.86416, Time:0:02:00
Epochs:2000, Train Loss:0.00111,Test Loss:1.23290, Train_MSE:0.00111, Train_RMSE:0.03335, Train_MAE:0.02802,Test_MSE:1.23290, Test_RMSE:1.11036, Test_MAE:0.86477, Time:0:02:03 *
Epochs:2050, Train Loss:0.03024,Test Loss:1.33870, Train_MSE:0.03024, Train_RMSE:0.17391, Train_MAE:0.12943,Test_MSE:1.33870, Test_RMSE:1.15702, Test_MAE:0.90095, Time:0:02:06
Epochs:2100, Train Loss:0.05468,Test Loss:1.16753, Train_MSE:0.05468, Train_RMSE:0.23384, Train_MAE:0.12546,Test_MSE:1.16753, Test_RMSE:1.08052, Test_MAE:0.82458, Time:0:02:09
Epochs:2150, Train Loss:0.03878,Test Loss:1.45971, Train_MSE:0.03878, Train_RMSE:0.19692, Train_MAE:0.11883,Test_MSE:1.45971, Test_RMSE:1.20819, Test_MAE:0.92194, Time:0:02:11
Epochs:2200, Train Loss:0.11324,Test Loss:1.28058, Train_MSE:0.11324, Train_RMSE:0.33651, Train_MAE:0.17856,Test_MSE:1.28058, Test_RMSE:1.13163, Test_MAE:0.87861, Time:0:02:15
Epochs:2250, Train Loss:0.08123,Test Loss:1.27660, Train_MSE:0.08123, Train_RMSE:0.28500, Train_MAE:0.18392,Test_MSE:1.27660, Test_RMSE:1.12987, Test_MAE:0.85377, Time:0:02:17
Epochs:2300, Train Loss:0.09087,Test Loss:1.22914, Train_MSE:0.09087, Train_RMSE:0.30145, Train_MAE:0.14020,Test_MSE:1.22914, Test_RMSE:1.10867, Test_MAE:0.84815, Time:0:02:20
Epochs:2350, Train Loss:0.05229,Test Loss:1.43109, Train_MSE:0.05229, Train_RMSE:0.22867, Train_MAE:0.10698,Test_MSE:1.43109, Test_RMSE:1.19628, Test_MAE:0.91471, Time:0:02:23
Epochs:2400, Train Loss:0.00065,Test Loss:1.48939, Train_MSE:0.00065, Train_RMSE:0.02545, Train_MAE:0.02032,Test_MSE:1.48939, Test_RMSE:1.22040, Test_MAE:0.93148, Time:0:02:26 *
Epochs:2450, Train Loss:0.00247,Test Loss:1.63975, Train_MSE:0.00247, Train_RMSE:0.04970, Train_MAE:0.03878,Test_MSE:1.63975, Test_RMSE:1.28053, Test_MAE:0.98414, Time:0:02:29
Epochs:2500, Train Loss:0.02167,Test Loss:1.56524, Train_MSE:0.02167, Train_RMSE:0.14722, Train_MAE:0.07337,Test_MSE:1.56524, Test_RMSE:1.25109, Test_MAE:0.93945, Time:0:02:32
Epochs:2550, Train Loss:0.15223,Test Loss:1.59434, Train_MSE:0.15223, Train_RMSE:0.39016, Train_MAE:0.24306,Test_MSE:1.59434, Test_RMSE:1.26267, Test_MAE:0.92752, Time:0:02:35
Epochs:2600, Train Loss:0.02103,Test Loss:1.65955, Train_MSE:0.02103, Train_RMSE:0.14500, Train_MAE:0.07893,Test_MSE:1.65955, Test_RMSE:1.28824, Test_MAE:0.94617, Time:0:02:38
Epochs:2650, Train Loss:0.01260,Test Loss:1.84931, Train_MSE:0.01260, Train_RMSE:0.11226, Train_MAE:0.06742,Test_MSE:1.84931, Test_RMSE:1.35989, Test_MAE:1.00807, Time:0:02:41
Epochs:2700, Train Loss:0.02455,Test Loss:1.65302, Train_MSE:0.02455, Train_RMSE:0.15670, Train_MAE:0.07246,Test_MSE:1.65302, Test_RMSE:1.28570, Test_MAE:0.96386, Time:0:02:44
Epochs:2750, Train Loss:0.01910,Test Loss:1.56010, Train_MSE:0.01910, Train_RMSE:0.13819, Train_MAE:0.09571,Test_MSE:1.56010, Test_RMSE:1.24904, Test_MAE:0.94581, Time:0:02:47
Epochs:2800, Train Loss:0.02694,Test Loss:1.68322, Train_MSE:0.02694, Train_RMSE:0.16413, Train_MAE:0.08635,Test_MSE:1.68322, Test_RMSE:1.29739, Test_MAE:0.95847, Time:0:02:51
Epochs:2850, Train Loss:0.00053,Test Loss:1.74334, Train_MSE:0.00053, Train_RMSE:0.02304, Train_MAE:0.01806,Test_MSE:1.74334, Test_RMSE:1.32036, Test_MAE:0.95287, Time:0:02:54 *
Epochs:2900, Train Loss:0.08942,Test Loss:1.61815, Train_MSE:0.08942, Train_RMSE:0.29903, Train_MAE:0.12628,Test_MSE:1.61815, Test_RMSE:1.27206, Test_MAE:0.96267, Time:0:02:57
Epochs:2950, Train Loss:0.00088,Test Loss:1.70602, Train_MSE:0.00088, Train_RMSE:0.02968, Train_MAE:0.02536,Test_MSE:1.70602, Test_RMSE:1.30615, Test_MAE:0.98379, Time:0:03:00
****************************************************************************************************
==>加载已训练好的模型...
